EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
9990151,RIVERSIDE CO., ,04/06/1955,1530,Tornado,0, ,0,0,0,0,CA,CST, , ,C,65, ,0,0, , ,1,50,0, ,0, , ,34.00,-117.25, , ,"","",1
9989509,RIVERSIDE CO., ,09/02/1960,1630,Hail,2.75, ,0,0,0,0,CA,CST, , ,C,65, ,0,0, , ,0,0,0, ,0, , ,33.78,-117.18, , ,"","",2
9990626,RIVERSIDE CO., ,08/03/1973,1600,Thunderstorm Wind,88, ,0,0,0,0,CA,CST, , ,C,65, ,0,0, , ,0,0,0, ,0, , ,33.80,-115.33, , ,"","",3
9990627,RIVERSIDE CO., ,08/04/1973,1800,Thunderstorm Wind,0, ,0,0,0,0,CA,CST, , ,C,65, ,0,0, , ,0,0,0, ,0, , ,33.73,-115.32, , ,"","",4
9990628,RIVERSIDE CO., ,08/04/1973,1919,Thunderstorm Wind,56, ,0,0,0,0,CA,CST, , ,C,65, ,0,0, , ,0,0,0, ,0, , ,33.62,-114.72, , ,"","",5
9990629,RIVERSIDE CO., ,08/16/1973,2100,Tornado,0,F3,0,0,25000,0,CA,PST, , ,C,65, ,0,0, , ,0,33,0, ,0, , ,33.62,-114.63, , ,"","",6
9990634,RIVERSIDE CO., ,05/23/1974,1815,Thunderstorm Wind,52, ,0,0,0,0,CA,CST, , ,C,65, ,0,0, , ,0,0,0, ,0, , ,33.83,-116.50, , ,"","",7
9990635,RIVERSIDE CO., ,07/20/1974,1549,Tornado,0,F1,0,1,25000,0,CA,CST, , ,C,65, ,0,0, , ,1,20,0, ,0, , ,33.75,-116.95, , ,"","",8
9990655,RIVERSIDE CO., ,09/07/1976,1700,Thunderstorm Wind,0, ,0,0,0,0,CA,CST, , ,C,65, ,0,0, , ,0,0,0, ,0, , ,33.83,-117.52, , ,"","",9
9991249,RIVERSIDE CO., ,08/07/1978,145,Thunderstorm Wind,51, ,0,0,0,0,CA,CST, , ,C,65,S,0,0, , ,0,0,0, ,0, , ,33.62,-114.72, , ,"","",10
9991260,RIVERSIDE CO., ,09/13/1979,2309,Hail,1.00, ,0,0,0,0,CA,CST, , ,C,65,S,0,0, , ,0,0,0, ,0, , ,33.62,-114.72, , ,"","",11
9991273,RIVERSIDE CO., ,03/06/1980,730,Thunderstorm Wind,0, ,0,0,0,0,CA,CST, , ,C,65,PER,0,0, , ,0,0,0, ,0, , ,33.95,-117.40, , ,"","",12
9991287,RIVERSIDE CO., ,08/24/1980,2125,Thunderstorm Wind,55, ,0,0,0,0,CA,CST, , ,C,65,S,0,0, , ,0,0,0, ,0, , ,33.62,-114.72, , ,"","",13
9991297,RIVERSIDE CO., ,08/12/1981,1800,Thunderstorm Wind,87, ,0,0,0,0,CA,CST, , ,C,65,LCO,0,0, , ,0,0,0, ,0, , ,33.73,-116.23, , ,"","",14
9991303,RIVERSIDE CO., ,01/20/1982,405,Tornado,0,F0,0,0,0,0,CA,CST, , ,C,65, ,0,0, , ,.3,60,0, ,0, , ,33.95,-117.40, , ,"","",15
9992383,RIVERSIDE CO., ,07/26/1982,1623,Thunderstorm Wind,0, ,0,0,0,0,CA,CST, , ,C,65,ATA,0,0, , ,0,0,0, ,0, , ,33.62,-114.60, , ,"","",16
9989050,RIVERSIDE CO., ,07/22/1984,1530,Thunderstorm Wind,52, ,0,0,0,0,CA,CST, , ,C,65,T,0,0, , ,0,0,0, ,0, , ,33.73,-116.23, , ,"","",17
