EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5382538,C RIVERSIDE (ZONE), ,01/05/2004,0,Cold/Wind Chill, , ,0,0,0,0,CA,PST, ,1165731,Z,61,SGX,0,0,AWOS,ASOS,MESONET,ETC, , , , , , , , , , , , ,"","Temperatures fell to 25 degrees Fahrenheit over the Coachella Valley and Anza-Borrego Desert.",1
5382537,X SW SAN BERNARDINO (ZONE), ,01/05/2004,357,High Wind,60, ,0,0,0,0,CA,PST,MG,1165730,Z,48,SGX,0,0,AWOS,ASOS,MESONET,ETC, , , , , , , , , , , , ,"","Tree branches torn off below Cajon Pass.",2
5382540,NE ORANGE (ZONE), ,01/22/2004,30,High Wind,52, ,0,0,0,0,CA,PST,MG,1165732,Z,57,SGX,0,0,AWOS,ASOS,MESONET,ETC, , , , , , , , , , , , ,"","A semi-tractor trailer was blown over at the Interstate 210 and Interstate 15 connection.",3
5382541,X SW SAN BERNARDINO (ZONE), ,01/22/2004,600,High Wind,50, ,0,1,150000,0,CA,PST,EG,1165732,Z,48,SGX,0,0,LAW ENFORCEMENT, , , , , , , , , , , , ,"","A semi-tractor trailer was blown over at the Interstate 210 and Interstate 15 connection.",4
5394695,RIVERSIDE COUNTY MOUNTAINS (ZONE), ,02/02/2004,2000,Heavy Snow, , ,0,0,0,0,CA,PST, ,1168722,Z,56,SGX,0,0,AWOS,ASOS,MESONET,ETC, , , , , , , , , , , , ,"","A Winter Storm, brought heavy precipitation and thunderstorms with damaging winds as it moved onshore through Southwest California.  In the mountains above 5500 feet elevation, 9 to 14 inches of snow fell. The snow level eventually lowered to 3500 feet over the high desert where 1 to 3 inches of snow fell. Along the coastal slopes, at elevations below 5000 feet, heavy rain caused mudslides, closing  several  mountain highways. Heavy rainshowers over the valleys and along the coastal plain, flooded many roadway and were a contributing factor in many traffic accidents. Strong winds from a squall line moving across the coastal waters, knocked down trees as it moved onshore through southern Orange County and San Diego County.",5
5394684,RIVERSIDE CO.,MIRA LOMA,02/02/2004,2114,Flash Flood, , ,0,0,5000,0,CA,PST, ,1168722,C,65,SGX,0,0,LAW ENFORCEMENT, , , ,2,SW,2,SW,MIRA LOMA, , , , ,"","A Winter Storm, brought heavy precipitation and thunderstorms with damaging winds as it moved onshore through Southwest California.  In the mountains above 5500 feet elevation, 9 to 14 inches of snow fell. The snow level eventually lowered to 3500 feet over the high desert where 1 to 3 inches of snow fell. Along the coastal slopes, at elevations below 5000 feet, heavy rain caused mudslides, closing  several  mountain highways. Heavy rainshowers over the valleys and along the coastal plain, flooded many roadway and were a contributing factor in many traffic accidents. Strong winds from a squall line moving across the coastal waters, knocked down trees as it moved onshore through southern Orange County and San Diego County.",6
5394687,RIVERSIDE CO.,MORENO VALLEY,02/02/2004,2312,Flash Flood, , ,0,0,5000,0,CA,PST, ,1168722,C,65,SGX,0,0,TRAINED SPOTTER, , , , , , , ,MORENO VALLEY, , , , ,"","A Winter Storm, brought heavy precipitation and thunderstorms with damaging winds as it moved onshore through Southwest California.  In the mountains above 5500 feet elevation, 9 to 14 inches of snow fell. The snow level eventually lowered to 3500 feet over the high desert where 1 to 3 inches of snow fell. Along the coastal slopes, at elevations below 5000 feet, heavy rain caused mudslides, closing  several  mountain highways. Heavy rainshowers over the valleys and along the coastal plain, flooded many roadway and were a contributing factor in many traffic accidents. Strong winds from a squall line moving across the coastal waters, knocked down trees as it moved onshore through southern Orange County and San Diego County.",7
5394784,NE ORANGE (ZONE), ,02/10/2004,100,High Wind,55, ,0,0,0,0,CA,PST,MG,1168726,Z,57,SGX,0,0,AWOS,ASOS,MESONET,ETC, , , , , , , , , , , , ,"","",8
5394785,X SW SAN BERNARDINO (ZONE), ,02/10/2004,626,High Wind,59, ,0,0,50000,0,CA,PST,MG,1168726,Z,48,SGX,0,0,AWOS,ASOS,MESONET,ETC, , , , , , , , , , , , ,"","",9
5394663,RIVERSIDE CO.,TEMECULA,02/18/2004,1545,Flash Flood, , ,0,0,25000,0,CA,PST, ,1168717,C,65,SGX,0,0,TRAINED SPOTTER, , , , , , , ,BEAUMONT, , , , ,"","Heavy rainshowers developed along a cold front that moved east across the region. This led to flooded roadways in the valleys, and mud and rock slides in the foothill and mountain areas that had recently burned.",10
